CIF Id,first_name,last_name,DOB,email,Mobile No,gender,Salary,PAN,Credit Card,Home Loan,Car Loan,Insurance
21112073503,Valene,MacConnell,25/02/1996,vmacconnell0@archive.org,2335472418,Female,$7968.03,KJKKL0036O,1,0,0,0
21134951209,Dirk,Wibberley,23/02/1988,dwibberley1@spotify.com,4169723440,Male,$9986.12,UZKPS6213Q,0,0,0,0
21179027632,Selina,Penniall,03/08/1993,spenniall2@uol.com.br,3282654478,Female,$7825.83,FJSOI2643L,0,0,0,0
21159831064,Godard,Patterson,22/08/1973,gpatterson3@cnbc.com,8787640577,Male,$6547.32,DTFNT3447F,0,0,0,0
21104158788,Odie,Dradey,07/12/1974,odradey4@epa.gov,9194724899,Male,$2668.96,EVEYB5471H,0,0,0,0
21107653892,Zacherie,Prozillo,05/02/1990,zprozillo5@purevolume.com,6097969871,Male,$9252.73,NLGZP1697B,0,0,0,0
21193105858,Mona,Langran,28/09/1960,mlangran6@rambler.ru,5293245173,Female,$8580.13,TVEZH5405D,1,0,0,0
21196935228,Gwenette,Twidale,23/07/1965,gtwidale7@rakuten.co.jp,5277776697,Female,$2842.81,SLZNJ4405Y,1,0,0,0
21132256446,Victoir,Gibbons,23/07/1986,vgibbons8@craigslist.org,5128055704,Male,$8161.77,MTNKB1133H,0,0,0,0
21134233741,Yolane,Comberbach,16/03/1991,ycomberbach9@lulu.com,3566948874,Female,$2563.28,FLYYD8518C,0,0,0,0
21103711198,Henri,Kermon,26/07/1988,hkermona@ow.ly,5026997427,Male,$7518.08,MSVUM1206N,0,0,0,0
21115342044,Carlynne,Emett,28/08/1989,cemettb@digg.com,8012114178,Female,$4700.79,XRIHT4116Z,0,0,0,1
21144772184,Ingemar,Kimmings,16/03/1988,ikimmingsc@blog.com,2679383229,Male,$3491.98,OHHKL6430S,0,0,0,1
21188236843,Riva,McWhinnie,31/01/1985,rmcwhinnied@dailymotion.com,7137062543,Female,$3050.35,JNBJG8983S,0,0,0,0
21135322589,Brandy,Fish,21/11/1976,bfishe@weebly.com,1049997922,Male,$6941.34,TBCYZ0454Q,0,0,0,0
